Description,Amount,Type,Date
Salary,5000,income,2024-01-15
Grocery Shopping,150,expense,2024-01-16
Netflix Subscription,15,expense,2024-01-17
Uber Ride,25,expense,2024-01-18
Restaurant Dinner,80,expense,2024-01-19
Gas Station,45,expense,2024-01-20
Amazon Purchase,120,expense,2024-01-21
Coffee Shop,8,expense,2024-01-22
Electric Bill,85,expense,2024-01-23
Movie Theater,30,expense,2024-01-24
Freelance Work,800,income,2024-01-25
Pharmacy,35,expense,2024-01-26
Target Shopping,95,expense,2024-01-27
Pizza Delivery,25,expense,2024-01-28
Internet Bill,60,expense,2024-01-29
Spotify Subscription,12,expense,2024-01-30 